,0,1
0,sql,18
1,dba,14
2,db,10
3,oracle,9
4,rdbms,8
5,aws,7
6,python,6
7,nosql,6
8,postgresql,6
9,dba oracle,6
10,ms sql,4
11,rds,3
12,api,3
13,gcp,3
14,server,3
15,source,3
16,sql server,3
17,open source,3
18,source db,3
19,mariadb,2
20,cloud,2
21,mysql,2
22,aurora,2
23,restapi,2
24,spring,2
25,experiences,2
26,on,2
27,with,2
28,the,2
29,to,2
30,cs,2
31,join,2
32,azure,2
33,amazon,2
34,linux,2
35,git,2
36,django,2
37,mongodb,2
38,ha,2
39,performance,2
40,c,2
41,c++,2
42,shell,2
43,database,2
44,tuning,2
45,rdbms sql,2
46,aws rds,2
47,have experiences,2
48,aws gcp,2
49,sql ms,2
50,sql sql,2
51,db nosql,2
52,c c++,2
