,lang,freq
0,kotlin,50
1,mvvm,40
2,flutter,38
3,react,37
4,ui ux,35
5,java,28
6,git,27
7,architecture,23
8,mvp,22
9,react native,22
10,api,19
11,swift,18
12,rxjava,18
13,coroutine,16
14,jira,16
15,firebase,15
16,c++,15
17,unit,14
18,reactive,14
19,javascript,13
20,tdd,13
21,aws,13
22,framework,13
23,c,13
24,agile,13
25,mvp mvvm,13
26,github,12
27,clean,12
28,jetpack,12
29,web,12
30,store,12
31,confluence,12
32,ci cd,12
33,ios android,12
34,jira confluence,12
35,unit test,11
36,clean architecture,11
37,google,10
38,sdk,10
39,play,10
