,lang,freq
0,Web3,16
1,Git,14
2,DeFi,13
3,AWS,11
4,Web3.js,11
5,Dapp,9
6,API,9
7,NFT,8
8,Solidity,8
9,Docker,7
10,Rust,7
11,github,7
12,security,7
13,distributed systems,7
14,fault tolerance,7
15,tolerance security,7
16,security cryptography,7
17,cryptography networking,7
18,familiarity with,7
19,restful,6
20,cosmos,6
21,tendermint,6
22,c++,6
23,language,6
24,javascript,6
25,go,6
26,eos,6
27,working,6
28,primitives,6
29,which,6
30,covers,6
31,contributions,6
32,to,6
33,widely,6
34,adopted,6
35,source,6
36,projects,6
37,restful api,6
38,cosmos sdk,6
39,blockchain core,6
40,core primitives,6
41,primitives which,6
42,which covers,6
43,covers distributed,6
44,contributions to,6
45,to widely,6
46,widely adopted,6
47,adopted open,6
48,open source,6
49,source projects,6
50,slack,5
51,kubernetes,5
52,java,5
53,hyperledger,5
54,sdk tendermint,5
55,node js,5
56,working on,5
57,on blockchain,5
58,evm,4
59,google,4
60,rdbms,4
61,jira,4
62,graphql,4
63,webpack,4
64,typescript,4
65,azure,4
66,finance,4
67,especially,4
68,such,4
69,as,4
70,frontend,4
71,with finance,4
72,finance especially,4
73,especially defi,4
74,such as,4
75,web3 frontend,4
76,css,3
77,proxy,3
78,backend,3
79,discord,3
80,communication,3
81,notion,3
82,nosql,3
83,spring,3
84,contract,3
85,confluence,3
86,ethereum,3
87,c,3
88,django,3
89,the,3
90,stack,3
91,virtual,3
92,audit,3
93,node proxy,3
94,ci cd,3
95,go rust,3
96,networking familiarity,3
97,defi contributions,3
98,js web3,3
99,js working,3
100,hyperledger git,3
101,git github,3
