,0,1
0,typescript,25
1,ethereum,23
2,solidity,22
3,javascript,20
4,java,19
5,node js,19
6,react,18
7,web3,14
8,go,13
9,linux,11
10,api,10
11,python,10
12,aws,10
13,dapp,10
14,nft,9
15,rust,8
16,evm,8
17,software,8
18,redux,8
19,hyperledger,7
20,c++,7
21,web,7
22,equivalent,7
23,web3 js,7
24,css,6
25,contract,6
26,mysql,6
27,truffle,6
28,smart,6
29,engineering,6
30,go java,6
31,software engineering,6
32,nodejs,5
33,rest,5
34,etc,5
35,defi,5
36,blockchain,5
37,java node,5
38,javascript typescript,5
39,rpc,4
40,l2,4
41,hardhat,4
42,rdbms,4
43,sql,4
44,git,4
45,mainnet,4
46,ethers,4
47,os,4
48,html,4
49,solana,4
50,restful,4
51,rest api,4
52,nft defi,4
53,solidity truffle,4
54,smart contract,4
55,ethereum mainnet,4
56,react redux,4
57,restful api,4
