,lang,freq
0,aws,47
1,spark,29
2,hadoop,28
3,python,27
4,ml,26
5,docker,25
6,kubernetes,22
7,ai,22
8,kafka,21
9,gcp,18
10,bi,17
11,tableau,16
12,tensorflow,15
13,pytorch,14
14,azure,13
15,etl,12
16,mlops,12
17,google,11
18,machine,11
19,sql,11
20,cloud,10
21,nosql,10
22,airflow,10
23,machine learning,10
24,java,9
25,c++,9
26,rdbms,9
27,ci cd,9
28,docker kubernetes,9
29,hadoop spark,9
30,aws gcp,9
31,aws azure,8
32,aws,8
33,vision,8
34,git,8
35,hive,8
36,api,7
37,elasticsearch,7
38,k8s,7
39,dl,7
40,web,7
41,180,7
42,nosql,7
43,mysql,5
44,rds,4
45,postgresql,4
46,cloud,3
47,go,3
48,linux,3
49,sql,3
50,etl,3
51,rdbms,2
52,kafka,2
53,aurora,2
54,redis,2
55,java,2
56,docker,2
57,kubernetes,2
58,mongodb,2
59,rds aurora,2
60,mysql postgresql,2
61,java go,2
62,aws cloud,2
