,lang,freq
0,Python,122
1,SQL,92
2,Java,46
3,AWS,38
4,Spark,28
5,Scala,27
6,NoSQL,22
7,Hadoop,22
8,RDBMS,21
9,Linux,20
10,C++,19
11,TensorFlow,17
12,Oracle,17
13,API,16
14,pytorch,16
15,ml,16
16,gcp,15
17,mysql,15
18,airflow,14
19,go,14
20,ai,13
21,python java,13
22,python scala,13
23,hive,11
24,postgresql,11
25,azure,11
26,framework,11
27,python sql,11
28,c,10
29,etl,10
30,git,10
31,mongodb,10
32,cloud,10
33,java scala,10
34,scala java,10
35,dba oracle,10
36,docker,9
37,engineer,9
38,javascript,9
39,os,9
40,spring,9
