,lang,freq
0,unity,11
1,vr,9
2,unreal,8
3,ar,7
4,opengl,6
5,c,5
6,c++,5
7,shader,5
8,git,5
9,nft,5
10,github,4
11,graphics,4
12,vision,4
13,jira,4
14,c#,4
15,mmorpg,3
16,unity unreal,3
17,max,2
18,engine,2
19,slam,2
20,webgl,2
21,react,2
22,typescript,2
23,three,2
24,rxjs,2
25,aws,2
26,math,2
27,svn,2
28,mr,2
29,face,2
30,xr,2
31,kaggle,2
32,rendering,2
33,oop,2
34,ue4,2
35,swift,2
36,3d max,2
37,graphics unity,2
38,test code,2
39,computer vision,2
40,typescript three,2
41,three js,2
42,unreal opengl,2
43,opengl 3d,2
44,3d math,2
45,math 3d,2
46,3d git,2
47,git svn,2
48,svn jira,2
49,jira ar,2
50,vr mr,2
51,github kaggle,2
52,vision graphics,2
53,objective c,2
54,c swift,2
55,mmorpg mmorpg,2
