,lang,freq
0,isms,13
1,aws,12
2,kubernetes,9
3,cissp,6
4,cisa,6
5,terraform,6
6,gcp,5
7,azure,5
8,linux,5
9,cloud,5
10,python,5
11,ccna,4
12,iac,4
13,api,4
14,ci cd,4
15,cisa cissp,4
16,backend,3
17,java,3
18,ccnp,3
19,windows,3
20,google,3
21,iso,3
22,engineer,3
23,elk,3
24,infrastructure,3
25,code,3
26,docker,3
27,github,3
28,20mb,3
29,url,3
30,mysql,3
31,interview,3
32,fit,3
33,aws gcp,3
34,ccna ccnp,3
35,infrastructure as,3
36,as code,3
37,docker kubernetes,3
38,github 20mb,3
39,20mb url,3
