,lang,freq
0,Java,270
1,Spring,247
2,API,246
3,AWS,158
4,Python,155
5,MySQL,147
6,Git,139
7,Node.js,134
8,Framework,133
9,RDBMS,123
10,Javascript,116
11,RESTful,111
12,java spring,107
13,restful api,106
14,linux,96
15,typescript,84
16,db,79
17,sql,78
18,rest,76
19,boot,72
20,spring framework,72
21,spring boot,71
22,nosql,66
23,rest api,63
24,kotlin,60
25,django,57
26,docker,57
27,react,55
28,web,54
29,jpa,54
30,redis,45
31,c++,45
32,go,42
33,github,39
34,database,37
35,mongodb,36
36,os,34
37,back,33
38,cloud,33
39,css,33
40,oracle,32
41,c,32
42,rdb,31
43,postgresql,31
44,orm,29
45,http,29
46,c#,28
47,html,28
48,flask,27
49,ci,26
50,c c++,26
51,backend,25
52,express,25
53,nodejs,25
54,rdbms nosql,25
